2025-09-11 09:31:26,788 - INFO - Loading dataset from D:/Shantanu/MBTR/PI-SGAN/DATA/Images/MobilTelesco/train...
2025-09-11 09:33:36,047 - INFO - Loading dataset from D:/Shantanu/MBTR/DATA/Images/MobilTelesco/train...
2025-09-11 09:33:36,049 - INFO - Loaded 952 images from D:/Shantanu/MBTR/DATA/Images/MobilTelesco/train
2025-09-11 09:33:36,049 - INFO - Dataset loaded with 952 images
2025-09-11 09:33:36,049 - INFO - Initializing generator and critic...
2025-09-11 09:33:36,147 - INFO - Networks and optimizers initialized
2025-09-11 09:33:36,147 - INFO - Initializing metrics...
2025-09-11 09:33:36,472 - INFO - Metrics initialized: FID, Inception
2025-09-11 09:33:36,472 - INFO - Starting training for 100 epochs...
2025-09-11 09:33:36,479 - INFO - Epoch 0/99 started
2025-09-11 09:43:05,889 - INFO - Batch 104/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:11,249 - INFO - Batch 105/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:16,611 - INFO - Batch 106/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:21,966 - INFO - Batch 107/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:27,321 - INFO - Batch 108/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:32,674 - INFO - Batch 109/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:38,032 - INFO - Batch 110/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:43,379 - INFO - [Epoch 0/99] [Batch 110/476] [C loss: nan] [G loss: nan]
2025-09-11 09:43:43,385 - INFO - Batch 111/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:48,745 - INFO - Batch 112/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:54,104 - INFO - Batch 113/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:43:59,465 - INFO - Batch 114/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:04,823 - INFO - Batch 115/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:10,181 - INFO - Batch 116/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:15,539 - INFO - Batch 117/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:20,893 - INFO - Batch 118/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:26,246 - INFO - Batch 119/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:31,602 - INFO - Batch 120/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:36,953 - INFO - [Epoch 0/99] [Batch 120/476] [C loss: nan] [G loss: nan]
2025-09-11 09:44:36,959 - INFO - Batch 121/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:42,317 - INFO - Batch 122/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:47,671 - INFO - Batch 123/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:53,031 - INFO - Batch 124/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:44:58,389 - INFO - Batch 125/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:03,750 - INFO - Batch 126/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:09,109 - INFO - Batch 127/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:14,466 - INFO - Batch 128/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:19,824 - INFO - Batch 129/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:25,183 - INFO - Batch 130/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:30,535 - INFO - [Epoch 0/99] [Batch 130/476] [C loss: nan] [G loss: nan]
2025-09-11 09:45:30,541 - INFO - Batch 131/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:35,896 - INFO - Batch 132/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:41,254 - INFO - Batch 133/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:46,609 - INFO - Batch 134/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:51,965 - INFO - Batch 135/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
2025-09-11 09:45:57,324 - INFO - Batch 136/476, Actual batch size: 2, Image shape: torch.Size([2, 3, 1536, 2048])
